age,job,marital,education,default,balance,housing,loan,uid
39,blue-collar,married,primary,no,481,yes,no,1282
44,services,single,secondary,no,618,no,no,43671
43,management,married,primary,no,62,yes,no,15475
33,technician,married,secondary,no,3,no,no,20899
39,admin.,married,secondary,no,2319,no,no,27368
38,technician,married,tertiary,no,664,no,no,22318
37,management,married,tertiary,no,410,no,no,28589
36,technician,divorced,secondary,no,487,no,yes,20363
25,services,single,unknown,no,-501,yes,yes,11139
34,technician,single,secondary,no,0,no,no,23554
38,self-employed,single,tertiary,no,5774,yes,no,38570
35,management,single,secondary,yes,-202,yes,no,4702
35,services,divorced,secondary,no,221,yes,no,37833
27,admin.,single,secondary,no,585,no,no,12522
42,blue-collar,married,primary,no,1673,yes,no,33021
30,technician,single,secondary,no,167,no,no,23660
55,technician,married,secondary,no,9774,yes,no,26440
29,admin.,single,secondary,no,428,yes,yes,35333
46,housemaid,married,primary,no,238,no,yes,15308
30,blue-collar,single,secondary,no,-276,no,yes,30148
60,services,married,secondary,no,4428,no,no,44435
46,admin.,married,secondary,no,0,yes,no,43230
45,blue-collar,married,primary,no,1335,yes,no,36803
45,services,divorced,secondary,no,5758,yes,no,13445
47,blue-collar,married,secondary,no,4403,yes,yes,24305
41,management,married,tertiary,no,676,no,no,10790
27,blue-collar,married,primary,no,713,yes,no,7578
60,admin.,married,secondary,no,1538,no,no,20792
31,technician,married,tertiary,no,237,yes,no,18602
27,student,single,primary,yes,25,no,no,44607
45,admin.,married,secondary,no,369,yes,no,38634
41,technician,single,secondary,no,3023,no,no,18278
44,management,married,secondary,no,991,no,no,29196
21,student,single,unknown,no,200,no,no,43850
43,blue-collar,married,primary,no,3917,no,no,40034
46,management,married,tertiary,no,-3,no,no,23549
35,blue-collar,married,secondary,no,876,yes,no,33349
39,admin.,single,secondary,no,2854,yes,no,8032
48,blue-collar,married,unknown,no,617,yes,no,20120
34,blue-collar,divorced,primary,no,390,yes,no,38532
49,admin.,married,secondary,no,0,yes,yes,17803
50,entrepreneur,married,tertiary,no,221,yes,no,33201
34,technician,married,secondary,no,210,yes,yes,26227
32,admin.,married,secondary,no,1604,no,yes,12797
53,admin.,married,secondary,no,1796,no,no,40152
41,technician,married,secondary,no,4004,no,no,33046
33,technician,married,secondary,no,-616,yes,yes,6361
52,admin.,married,secondary,no,722,no,no,41977
32,blue-collar,married,secondary,no,557,no,no,30126
37,management,single,tertiary,no,198,no,no,22004
40,admin.,single,secondary,no,142,no,yes,12024
49,blue-collar,married,primary,no,0,yes,no,9550
56,technician,married,secondary,no,2065,no,no,20994
45,management,married,tertiary,no,786,no,no,41532
45,blue-collar,divorced,secondary,no,756,yes,no,536
42,management,married,tertiary,no,0,no,no,22917
34,blue-collar,married,secondary,no,157,yes,no,14191
48,blue-collar,married,primary,no,219,yes,no,7343
55,technician,single,secondary,no,1199,no,yes,34331
35,admin.,single,secondary,no,1836,no,no,28541
43,management,divorced,tertiary,no,443,yes,no,1731
37,technician,married,tertiary,no,16,yes,yes,1033
45,admin.,married,secondary,no,137,yes,no,3097
44,housemaid,married,primary,no,398,no,no,12807
58,management,married,tertiary,no,5942,no,no,20447
52,technician,married,secondary,no,5006,yes,no,3202
47,services,married,secondary,no,518,no,no,23911
29,self-employed,married,secondary,no,123,no,yes,41943
33,blue-collar,married,primary,no,1064,yes,no,31726
31,management,single,tertiary,no,1761,yes,no,44331
43,admin.,married,secondary,no,5048,no,no,18752
29,unemployed,single,secondary,no,670,yes,no,44890
52,blue-collar,married,primary,no,0,no,no,20161
37,admin.,divorced,secondary,no,673,yes,no,8303
30,blue-collar,married,secondary,no,-28,yes,no,38785
35,technician,married,secondary,no,374,yes,yes,19707
52,technician,married,secondary,no,192,yes,no,16212
40,services,married,primary,no,2469,no,yes,11523
21,blue-collar,single,secondary,no,614,yes,no,2424
46,admin.,married,secondary,no,7386,no,no,40665
59,retired,married,primary,no,143,yes,no,11424
25,student,single,secondary,no,304,no,no,42384
44,blue-collar,married,primary,no,1432,yes,yes,6524
53,blue-collar,married,primary,no,570,no,no,21864
33,admin.,single,tertiary,no,235,yes,no,39105
29,services,married,secondary,no,489,yes,no,32072
53,blue-collar,married,unknown,no,960,no,yes,43984
28,management,married,tertiary,no,328,no,no,5929
39,management,married,secondary,no,46,yes,no,23163
46,technician,single,tertiary,no,2739,no,no,19933
59,technician,married,tertiary,no,6573,yes,no,24149
44,services,divorced,secondary,no,608,yes,yes,11275
44,services,single,secondary,no,0,yes,no,2872
31,admin.,divorced,secondary,no,2980,no,no,43511
30,services,divorced,secondary,no,0,yes,yes,25275
37,housemaid,married,secondary,no,167,yes,no,15637
55,management,married,tertiary,no,740,no,no,22782
29,services,single,secondary,no,2559,no,no,29963
34,management,single,tertiary,no,-64,yes,yes,23749
45,blue-collar,married,unknown,no,1263,yes,no,4342
26,self-employed,single,tertiary,no,25,no,no,27789
37,management,married,tertiary,no,1060,no,no,26510
35,blue-collar,married,primary,no,422,yes,no,37822
37,self-employed,divorced,tertiary,no,601,yes,no,7534
31,management,single,secondary,no,1090,yes,no,35762
52,blue-collar,married,unknown,no,0,yes,no,13459
29,blue-collar,married,primary,no,10191,yes,no,38295
40,blue-collar,single,secondary,no,3,no,no,25733
32,entrepreneur,married,tertiary,no,964,yes,no,25543
31,blue-collar,married,primary,no,651,yes,no,2691
26,management,single,tertiary,no,9447,no,no,41436
45,blue-collar,married,primary,no,71,yes,no,3938
41,technician,married,secondary,no,2123,no,no,19772
27,blue-collar,single,secondary,yes,-3,yes,no,4352
50,technician,married,unknown,no,680,no,no,12907
35,blue-collar,married,primary,no,11,yes,no,2700
30,management,single,tertiary,no,697,no,no,42050
27,admin.,single,secondary,yes,-110,no,yes,13328
55,blue-collar,single,secondary,no,197,no,no,18104
34,services,single,secondary,no,1921,yes,no,29817
33,services,single,secondary,no,3358,yes,no,30413
29,blue-collar,single,secondary,no,922,yes,no,39063
56,management,married,primary,no,13,no,no,24478
42,unemployed,married,unknown,no,190,no,no,40800
57,housemaid,divorced,primary,no,0,no,no,9897
49,services,divorced,secondary,no,505,yes,no,542
42,admin.,married,secondary,no,6445,yes,no,8340
37,admin.,married,secondary,no,525,yes,no,5290
36,admin.,married,secondary,no,-206,yes,no,28981
72,retired,single,tertiary,no,614,no,no,41070
28,blue-collar,single,secondary,no,121,no,no,30046
42,housemaid,married,secondary,no,327,no,no,21189
47,management,married,tertiary,no,0,no,no,9107
34,management,married,tertiary,no,349,yes,yes,28412
39,management,married,secondary,no,2445,no,no,10741
48,unemployed,married,primary,no,0,no,no,27281
30,blue-collar,single,primary,no,660,yes,no,1003
27,student,single,unknown,no,468,no,no,30103
62,housemaid,married,tertiary,no,1528,no,no,32070
48,technician,married,secondary,no,425,yes,no,8804
42,blue-collar,married,secondary,no,443,yes,no,8214
45,blue-collar,married,unknown,no,5640,yes,no,18618
41,management,married,tertiary,no,1897,yes,no,4258
37,admin.,single,secondary,no,309,yes,no,38517
33,blue-collar,married,primary,no,331,yes,no,7526
34,technician,married,tertiary,no,11126,no,no,22753
54,management,married,unknown,no,876,yes,no,27916
41,admin.,married,secondary,no,4539,no,no,7714
52,management,married,secondary,no,335,no,no,45068
48,blue-collar,married,secondary,no,48,yes,yes,7090
54,management,single,tertiary,no,2419,yes,no,20483
37,housemaid,married,unknown,no,3075,no,no,11921
51,technician,married,tertiary,no,-3,no,no,22662
55,management,single,unknown,no,111,no,no,32308
49,services,divorced,secondary,no,579,yes,no,36052
50,services,married,secondary,no,57435,yes,no,27391
59,technician,married,secondary,no,3562,no,no,20905
42,technician,married,secondary,no,738,no,no,12187
55,blue-collar,married,secondary,no,1901,no,no,21275
37,blue-collar,married,secondary,no,346,yes,no,32488
45,management,divorced,tertiary,no,54,no,yes,15877
43,blue-collar,married,secondary,no,388,yes,yes,34798
60,retired,divorced,secondary,no,4974,yes,no,38463
34,technician,married,tertiary,no,4,yes,no,16584
47,blue-collar,married,primary,no,0,yes,yes,17476
27,entrepreneur,single,tertiary,no,512,yes,yes,8542
30,admin.,single,secondary,no,613,yes,no,33057
29,admin.,married,secondary,no,252,yes,no,38680
32,unemployed,married,secondary,no,869,yes,no,28383
44,management,married,tertiary,no,1764,no,no,21362
53,technician,divorced,secondary,no,751,yes,no,4015
46,management,divorced,tertiary,no,665,yes,no,29290
26,services,single,secondary,yes,-599,yes,yes,7546
33,unemployed,divorced,secondary,no,1005,yes,no,4714
41,management,married,secondary,no,23,no,yes,27152
28,services,single,secondary,no,2385,yes,no,8805
48,technician,married,secondary,no,505,yes,no,35139
31,management,single,tertiary,no,3625,yes,no,25487
30,blue-collar,single,primary,no,546,yes,no,4912
54,admin.,married,secondary,no,0,no,no,42786
70,retired,married,secondary,no,2815,no,no,41979
25,services,single,secondary,no,111,no,yes,12897
32,management,single,tertiary,no,1218,yes,no,28075
49,technician,divorced,secondary,no,-96,no,yes,20659
56,blue-collar,married,secondary,no,1602,yes,no,572
40,blue-collar,married,primary,no,2133,yes,yes,31660
61,management,married,tertiary,no,13546,no,no,42718
35,blue-collar,married,secondary,no,262,no,no,44065
48,technician,married,tertiary,no,0,no,no,21574
44,management,married,tertiary,no,-199,yes,no,16038
48,technician,married,secondary,no,101,yes,no,15846
35,technician,married,secondary,no,294,yes,no,43929
41,admin.,married,secondary,no,1705,no,no,18209
35,admin.,married,tertiary,no,286,no,no,34153
53,unemployed,married,secondary,no,582,yes,no,1229
38,entrepreneur,divorced,secondary,no,1190,yes,no,40083
32,technician,single,tertiary,no,502,yes,no,26882
31,blue-collar,single,secondary,no,183,yes,no,37709
45,services,married,secondary,no,507,no,yes,26912
33,services,married,secondary,no,244,yes,no,25223
26,self-employed,single,tertiary,no,50,no,no,18234
45,technician,divorced,secondary,no,-14,no,no,25384
36,self-employed,married,secondary,no,14,yes,yes,36066
53,self-employed,divorced,secondary,no,8112,yes,yes,26532
44,technician,married,secondary,no,-153,no,yes,12332
41,management,single,tertiary,no,537,yes,no,28381
39,blue-collar,single,secondary,no,649,yes,no,32153
33,management,single,tertiary,no,659,yes,no,25540
31,management,single,tertiary,no,9629,no,no,43383
30,management,single,tertiary,no,2995,yes,no,25053
35,management,married,tertiary,no,1012,no,no,9856
47,blue-collar,married,primary,no,-290,yes,no,38488
31,admin.,married,secondary,no,1098,yes,no,5626
43,blue-collar,divorced,secondary,no,898,yes,no,36186
40,admin.,single,secondary,no,2360,yes,no,33298
40,blue-collar,married,secondary,no,755,no,no,16283
41,blue-collar,married,secondary,no,271,yes,no,24624
36,unemployed,married,secondary,no,533,yes,no,29073
26,blue-collar,single,secondary,no,535,yes,yes,6640
32,unemployed,single,secondary,no,104,no,no,29756
45,blue-collar,married,primary,no,1227,no,no,9132
30,self-employed,single,tertiary,no,800,no,no,764
30,services,married,secondary,no,2261,yes,yes,13190
28,student,single,secondary,no,205,no,no,44182
26,blue-collar,single,primary,no,93,yes,no,37972
45,technician,divorced,secondary,no,49,no,no,19042
43,admin.,married,unknown,no,350,no,no,384
42,management,married,tertiary,no,1823,yes,no,2466
42,technician,single,secondary,no,-15,no,no,12303
39,blue-collar,married,primary,no,1004,yes,no,37275
31,technician,single,secondary,no,1282,no,no,43682
34,admin.,married,secondary,no,260,no,no,27768
19,student,single,secondary,no,1803,no,no,31305
36,admin.,single,tertiary,no,364,no,yes,44613
41,management,married,tertiary,no,2470,yes,no,35049
55,technician,married,secondary,no,2014,yes,yes,3543
47,management,divorced,tertiary,no,-363,yes,yes,6365
36,services,married,tertiary,no,562,no,no,39468
36,technician,single,secondary,no,301,yes,yes,17752
30,housemaid,single,secondary,no,358,yes,no,27255
31,blue-collar,married,secondary,no,-45,yes,no,8065
31,admin.,married,secondary,no,377,no,no,18326
46,entrepreneur,divorced,secondary,no,2514,yes,no,26803
29,technician,single,tertiary,no,2893,yes,no,8387
56,technician,married,primary,no,675,yes,no,7373
34,technician,married,secondary,no,1092,no,no,5275
56,management,married,primary,no,199,yes,yes,30056
51,admin.,married,secondary,no,949,no,no,19095
38,admin.,divorced,secondary,no,19,yes,no,30562
57,management,married,tertiary,no,1602,no,no,17743
53,blue-collar,married,secondary,no,0,no,no,18551
39,admin.,divorced,unknown,no,64,yes,no,15396
57,self-employed,married,primary,no,-34,yes,yes,36030
27,student,single,secondary,no,980,no,no,28190
43,services,single,secondary,no,3403,yes,no,42257
32,admin.,single,secondary,no,211,yes,no,38951
48,services,married,primary,yes,-583,yes,no,7978
36,management,single,tertiary,no,1129,yes,no,37206
54,blue-collar,divorced,primary,no,2656,yes,no,32169
55,self-employed,married,secondary,no,100,no,no,22422
28,management,single,tertiary,no,437,no,no,43631
49,blue-collar,married,secondary,no,579,yes,no,6670
31,technician,married,secondary,no,106,yes,no,2627
32,management,single,tertiary,no,15561,yes,no,17214
55,blue-collar,married,secondary,no,52,yes,no,469
35,blue-collar,single,secondary,no,4963,yes,no,37688
51,management,divorced,tertiary,no,45,no,no,21644
37,blue-collar,married,primary,no,8135,yes,no,26207
50,blue-collar,divorced,primary,no,602,yes,no,18490
41,blue-collar,married,primary,no,951,yes,no,33188
42,technician,married,secondary,no,233,no,no,31764
48,unknown,married,unknown,no,286,no,no,17923
40,management,married,tertiary,no,0,no,no,42190
39,services,single,secondary,no,471,no,no,45028
38,management,married,tertiary,no,258,yes,no,2718
29,blue-collar,married,primary,no,79,yes,no,39342
54,management,divorced,primary,no,210,no,no,25157
33,admin.,single,tertiary,no,490,yes,no,35165
35,management,married,tertiary,no,0,yes,no,15837
47,admin.,single,secondary,no,2540,no,no,25190
60,technician,married,tertiary,no,6573,yes,no,40815
41,technician,married,secondary,no,0,no,no,22520
57,management,married,tertiary,no,561,no,no,9016
60,retired,married,secondary,no,-208,yes,no,3344
35,technician,single,tertiary,no,172,yes,yes,24810
45,unemployed,married,secondary,no,383,no,no,33770
41,technician,married,secondary,no,593,no,no,23961
29,unemployed,single,tertiary,no,497,yes,no,39361
26,management,single,tertiary,no,800,yes,no,28868
29,technician,single,secondary,no,382,no,no,40630
53,blue-collar,married,secondary,no,248,yes,no,36400
31,management,single,tertiary,no,0,no,no,22789
34,admin.,married,tertiary,no,882,no,no,41006
32,management,married,tertiary,no,514,yes,no,6758
38,technician,divorced,tertiary,no,465,no,yes,17209
26,services,single,secondary,no,1347,no,no,30677
55,services,married,primary,no,255,yes,no,613
35,admin.,married,secondary,no,-203,yes,no,14222
36,entrepreneur,married,secondary,no,313,yes,no,28168
49,entrepreneur,married,secondary,no,27,no,no,10772
25,admin.,single,secondary,no,1871,no,no,40082
48,management,married,tertiary,no,4191,no,no,5193
61,self-employed,divorced,tertiary,no,52587,no,no,43054
34,technician,single,secondary,no,4676,no,no,20340
54,blue-collar,married,secondary,no,506,yes,no,19290
31,housemaid,married,secondary,no,14,no,no,25667
28,management,single,tertiary,no,4985,yes,no,41330
34,technician,single,tertiary,no,2047,yes,no,25370
61,retired,married,secondary,no,523,no,no,44566
60,admin.,single,secondary,no,646,yes,no,14879
47,services,divorced,secondary,no,287,no,no,11795
34,blue-collar,married,secondary,no,1221,yes,no,43647
56,housemaid,married,unknown,no,1780,no,no,20257
32,student,single,unknown,no,1583,yes,no,4443
60,retired,divorced,secondary,no,514,no,no,43310
52,blue-collar,married,primary,no,1515,no,no,19607
37,management,married,tertiary,no,1170,no,yes,10974
51,entrepreneur,single,secondary,no,440,no,no,11240
36,management,married,tertiary,no,1477,no,no,19534
51,blue-collar,married,primary,no,440,no,no,20076
51,blue-collar,divorced,secondary,no,216,yes,no,6225
50,self-employed,married,secondary,no,358,yes,yes,38696
56,housemaid,married,primary,no,954,no,no,11872
52,blue-collar,single,tertiary,yes,-517,no,yes,13955
35,technician,single,secondary,no,230,no,no,42855
40,entrepreneur,divorced,unknown,no,2418,yes,yes,8304
46,blue-collar,married,secondary,no,-221,yes,yes,29353
25,self-employed,single,tertiary,no,931,yes,no,36347
36,admin.,married,secondary,no,-118,yes,yes,5331
37,management,married,tertiary,no,9269,yes,yes,32673
30,blue-collar,married,secondary,no,246,yes,no,32769
33,blue-collar,married,secondary,no,983,no,no,44742
38,blue-collar,married,primary,no,1495,yes,no,8293
38,technician,married,secondary,no,0,yes,yes,14707
34,blue-collar,married,secondary,no,-53,yes,no,36672
42,management,single,tertiary,no,515,yes,no,25941
44,entrepreneur,married,secondary,no,4389,yes,no,14673
50,admin.,married,secondary,no,326,yes,no,36269
36,blue-collar,single,tertiary,no,3649,yes,no,26719
57,technician,married,secondary,no,323,yes,no,13523
44,technician,married,secondary,no,358,no,no,9211
34,admin.,married,primary,no,0,yes,yes,37807
25,blue-collar,single,secondary,no,543,yes,no,38180
43,blue-collar,married,primary,no,3064,yes,no,26888
55,technician,married,tertiary,no,440,no,no,5416
58,retired,married,secondary,no,610,yes,no,9635
38,technician,married,secondary,no,0,yes,no,4825
29,management,single,tertiary,no,1431,no,no,43957
70,retired,married,unknown,no,853,no,no,32154
56,blue-collar,single,secondary,no,1187,yes,no,30366
68,retired,married,secondary,no,2469,yes,no,44193
46,management,married,unknown,no,2296,no,no,9276
42,management,married,tertiary,no,72,yes,no,33219
32,management,single,tertiary,no,3097,yes,no,26759
