contact,day,month,duration,campaign,pdays,previous,poutcome,y,uid
cellular,21,aug,210,2,-1,0,unknown,no,22089
unknown,2,jun,90,3,-1,0,unknown,no,7979
cellular,20,nov,317,2,-1,0,unknown,no,26795
unknown,9,jun,221,10,-1,0,unknown,no,9719
cellular,20,apr,207,1,-1,0,unknown,no,33428
unknown,27,jun,302,2,-1,0,unknown,no,12373
cellular,24,jul,225,1,-1,0,unknown,no,16703
unknown,29,may,656,1,-1,0,unknown,no,7177
cellular,7,jul,88,3,-1,0,unknown,no,12923
cellular,9,feb,1183,2,-1,0,unknown,yes,30866
cellular,22,jul,423,1,-1,0,unknown,no,16002
unknown,3,jun,409,1,-1,0,unknown,no,8404
cellular,9,apr,90,2,-1,0,unknown,no,31931
cellular,6,may,320,1,-1,0,unknown,no,35029
cellular,30,apr,127,3,-1,0,unknown,no,34118
cellular,18,nov,90,1,-1,0,unknown,no,24896
cellular,11,aug,102,4,-1,0,unknown,no,20093
cellular,9,mar,265,2,-1,0,unknown,no,43260
cellular,20,nov,370,1,-1,0,unknown,no,26253
telephone,9,jul,16,1,-1,0,unknown,no,13445
unknown,16,jun,61,3,-1,0,unknown,no,10477
cellular,18,jul,247,4,-1,0,unknown,no,15477
unknown,4,jun,169,2,-1,0,unknown,no,8931
cellular,19,aug,587,2,-1,0,unknown,no,21639
cellular,1,sep,516,2,130,2,failure,no,41395
unknown,19,may,312,1,-1,0,unknown,no,4073
cellular,21,aug,161,3,-1,0,unknown,no,22252
cellular,5,feb,173,1,-1,0,unknown,no,30368
cellular,10,jul,103,1,-1,0,unknown,no,13784
unknown,14,may,65,6,-1,0,unknown,no,2732
cellular,12,mar,212,1,-1,0,unknown,yes,43284
unknown,9,jun,46,1,-1,0,unknown,no,43901
unknown,6,may,241,3,-1,0,unknown,no,408
unknown,6,may,221,1,-1,0,unknown,no,528
cellular,27,may,283,1,-1,0,unknown,no,39672
cellular,15,may,47,2,-1,0,unknown,no,38642
cellular,6,feb,297,1,252,1,failure,no,30663
cellular,11,may,151,2,370,2,failure,no,36201
cellular,17,apr,552,1,332,1,failure,no,32535
cellular,7,jul,174,1,-1,0,unknown,no,12837
cellular,11,aug,33,2,-1,0,unknown,no,20120
cellular,15,jan,176,2,-1,0,unknown,no,42688
cellular,19,nov,130,2,160,1,failure,no,26012
telephone,28,may,32,2,-1,0,unknown,no,39750
cellular,20,aug,117,4,-1,0,unknown,no,21803
telephone,12,may,291,5,-1,0,unknown,no,36568
unknown,11,jun,242,1,-1,0,unknown,no,10142
cellular,29,aug,106,2,-1,0,unknown,no,23783
cellular,21,nov,98,1,-1,0,unknown,no,27183
unknown,4,jul,121,1,-1,0,unknown,no,12627
cellular,7,may,190,2,-1,0,unknown,no,35584
cellular,20,aug,94,2,-1,0,unknown,no,21983
cellular,18,may,18,5,178,3,other,no,38954
telephone,8,jul,49,7,-1,0,unknown,no,13321
cellular,28,jan,148,2,258,2,failure,no,28027
cellular,19,nov,286,2,-1,0,unknown,no,25567
cellular,14,jul,203,1,183,2,failure,no,44175
cellular,16,apr,78,2,-1,0,unknown,yes,32197
cellular,8,feb,215,3,221,1,failure,no,42935
cellular,17,dec,110,2,205,3,failure,no,42515
unknown,27,may,144,7,-1,0,unknown,no,6554
cellular,20,aug,329,3,199,2,other,yes,41183
unknown,20,jun,52,2,-1,0,unknown,no,12079
cellular,20,apr,390,1,-1,0,unknown,no,33093
unknown,5,may,178,1,-1,0,unknown,no,119
cellular,11,aug,57,3,-1,0,unknown,no,20366
cellular,21,aug,224,8,-1,0,unknown,no,22267
unknown,23,may,235,2,-1,0,unknown,no,5449
cellular,27,aug,178,4,-1,0,unknown,no,23316
cellular,18,may,179,3,374,2,other,no,39090
telephone,6,feb,381,6,213,9,failure,no,30585
cellular,14,aug,159,2,-1,0,unknown,no,21104
unknown,29,may,306,1,-1,0,unknown,no,7209
cellular,7,aug,90,2,-1,0,unknown,no,19578
cellular,7,aug,76,2,-1,0,unknown,no,19532
unknown,20,jun,155,1,-1,0,unknown,no,11717
cellular,15,may,143,2,343,3,failure,no,38687
cellular,31,jul,11,5,-1,0,unknown,no,18760
cellular,18,nov,346,1,-1,0,unknown,no,24994
cellular,16,jul,132,2,-1,0,unknown,no,14921
cellular,7,apr,66,1,330,1,failure,no,31732
telephone,15,may,289,8,-1,0,unknown,no,38122
cellular,2,mar,149,1,-1,0,unknown,no,31208
cellular,7,may,49,1,-1,0,unknown,no,35220
unknown,27,may,472,1,-1,0,unknown,no,6173
unknown,21,may,91,3,-1,0,unknown,no,5076
unknown,14,may,349,5,-1,0,unknown,no,3087
unknown,23,may,161,1,-1,0,unknown,no,5378
cellular,17,jul,1275,1,-1,0,unknown,yes,15093
cellular,23,feb,132,1,103,7,failure,yes,43111
cellular,12,may,181,4,369,5,failure,no,36914
cellular,23,jul,212,3,-1,0,unknown,no,16414
cellular,14,may,99,4,-1,0,unknown,no,37567
cellular,30,apr,524,2,-1,0,unknown,no,33973
cellular,15,may,199,2,274,3,other,no,38485
unknown,20,may,114,3,-1,0,unknown,no,4690
unknown,17,jun,107,1,-1,0,unknown,no,10906
cellular,4,feb,258,1,-1,0,unknown,no,29801
unknown,3,jun,30,1,-1,0,unknown,no,8605
cellular,11,aug,76,2,-1,0,unknown,no,20222
unknown,9,may,262,2,-1,0,unknown,no,1990
cellular,17,jul,158,1,-1,0,unknown,no,15033
cellular,29,jun,660,2,182,6,success,yes,44030
cellular,13,sep,323,9,199,4,other,yes,44771
unknown,30,may,81,3,-1,0,unknown,no,7935
cellular,27,feb,71,1,-1,0,unknown,no,31195
unknown,2,jun,349,4,-1,0,unknown,no,8275
cellular,5,may,17,6,-1,0,unknown,no,34455
cellular,17,nov,81,1,-1,0,unknown,no,24268
cellular,30,apr,370,3,-1,0,unknown,yes,34152
cellular,28,jan,58,2,184,15,other,no,28030
cellular,12,nov,253,1,92,4,failure,yes,42235
telephone,9,jul,196,1,-1,0,unknown,no,13489
unknown,15,may,104,1,-1,0,unknown,no,3344
cellular,11,may,528,1,-1,0,unknown,no,36063
cellular,3,feb,43,4,-1,0,unknown,no,29422
cellular,29,aug,168,2,-1,0,unknown,no,23824
unknown,4,jun,357,2,-1,0,unknown,no,8828
cellular,13,may,60,5,-1,0,unknown,no,37178
cellular,18,aug,260,8,-1,0,unknown,no,21406
cellular,4,jun,147,1,119,3,failure,yes,40086
cellular,7,may,210,2,346,1,other,no,35136
telephone,20,nov,172,1,-1,0,unknown,no,26299
cellular,8,jul,447,2,-1,0,unknown,no,13274
cellular,11,may,469,1,350,1,failure,no,36098
cellular,7,may,226,1,339,1,other,no,35363
cellular,18,may,5,2,-1,0,unknown,no,39274
unknown,3,jun,166,1,-1,0,unknown,no,8431
cellular,20,nov,49,1,-1,0,unknown,no,26198
telephone,16,jul,188,3,-1,0,unknown,no,14774
cellular,2,jun,344,2,117,2,failure,no,43859
cellular,20,nov,124,1,-1,0,unknown,no,26297
cellular,12,aug,1307,4,-1,0,unknown,yes,20632
cellular,12,may,17,7,-1,0,unknown,no,36616
cellular,26,aug,106,7,-1,0,unknown,no,22962
cellular,21,nov,254,5,-1,0,unknown,no,26896
cellular,9,jun,103,4,-1,0,unknown,no,40222
cellular,15,may,7,6,357,1,failure,no,38215
unknown,26,may,85,1,-1,0,unknown,no,5712
cellular,25,aug,160,7,-1,0,unknown,no,22819
unknown,20,jun,29,2,-1,0,unknown,no,11916
unknown,29,may,310,3,-1,0,unknown,no,7376
unknown,4,jun,140,1,-1,0,unknown,no,8829
cellular,26,aug,78,4,-1,0,unknown,no,23092
cellular,29,jan,1101,1,-1,0,unknown,yes,28198
cellular,7,jul,122,2,-1,0,unknown,no,12752
cellular,12,aug,231,4,-1,0,unknown,no,20554
cellular,21,nov,673,1,-1,0,unknown,no,27313
unknown,6,may,325,1,-1,0,unknown,no,505
cellular,25,jul,246,2,-1,0,unknown,no,16933
cellular,11,feb,467,1,182,3,success,yes,43006
unknown,5,jun,65,2,-1,0,unknown,no,9042
cellular,11,aug,72,5,-1,0,unknown,no,20358
cellular,8,may,182,1,-1,0,unknown,no,35723
cellular,8,jul,225,2,-1,0,unknown,no,13363
cellular,7,jul,240,1,-1,0,unknown,no,12799
telephone,20,nov,761,3,-1,0,unknown,no,26846
cellular,19,nov,112,3,-1,0,unknown,no,25459
cellular,29,dec,195,2,-1,0,unknown,no,42574
unknown,6,may,170,3,-1,0,unknown,no,626
unknown,18,feb,386,1,-1,0,unknown,yes,43056
cellular,17,nov,57,1,-1,0,unknown,no,24289
cellular,18,may,264,1,300,2,success,no,38820
cellular,18,jul,377,1,-1,0,unknown,no,15345
telephone,18,jul,239,2,-1,0,unknown,no,15449
cellular,28,jul,78,2,-1,0,unknown,no,17250
telephone,11,jul,57,1,-1,0,unknown,no,14046
telephone,28,jul,313,16,-1,0,unknown,no,17436
unknown,14,may,76,9,-1,0,unknown,no,3142
cellular,30,jul,85,3,-1,0,unknown,no,17947
cellular,26,aug,338,9,-1,0,unknown,no,22940
unknown,8,may,300,2,-1,0,unknown,no,1524
cellular,21,aug,494,4,-1,0,unknown,no,22302
cellular,12,aug,127,2,-1,0,unknown,no,20434
unknown,6,jun,230,2,-1,0,unknown,no,9483
cellular,8,jul,283,1,-1,0,unknown,no,13238
cellular,28,aug,16,16,-1,0,unknown,no,23617
cellular,20,nov,470,2,-1,0,unknown,no,26645
cellular,13,aug,349,1,-1,0,unknown,no,40954
cellular,18,may,178,1,-1,0,unknown,no,39054
unknown,3,jun,132,2,-1,0,unknown,no,8600
unknown,28,may,268,1,-1,0,unknown,no,6715
unknown,5,may,391,1,-1,0,unknown,no,64
cellular,17,apr,390,1,316,1,failure,no,32488
cellular,18,may,326,1,-1,0,unknown,no,39034
unknown,29,may,125,1,-1,0,unknown,no,7216
cellular,2,feb,83,1,-1,0,unknown,no,29283
cellular,18,may,69,2,333,2,failure,no,39183
cellular,25,aug,93,9,-1,0,unknown,no,22763
cellular,3,feb,288,1,-1,0,unknown,no,42855
cellular,30,apr,430,1,-1,0,unknown,yes,34051
unknown,21,may,173,6,-1,0,unknown,no,5200
cellular,21,nov,614,1,-1,0,unknown,yes,26966
cellular,1,jun,215,2,-1,0,unknown,yes,39818
unknown,30,may,234,1,-1,0,unknown,no,7565
unknown,11,jun,144,1,-1,0,unknown,no,10125
cellular,21,jul,93,1,-1,0,unknown,no,15618
cellular,10,aug,559,1,70,2,other,yes,40750
unknown,9,may,255,2,-1,0,unknown,no,2002
cellular,18,nov,139,2,-1,0,unknown,no,25335
cellular,15,apr,158,2,329,1,failure,no,32188
cellular,18,aug,16,15,-1,0,unknown,no,21410
unknown,17,jun,134,1,-1,0,unknown,no,10853
unknown,21,may,225,1,-1,0,unknown,no,4768
telephone,27,feb,49,1,-1,0,unknown,no,31190
unknown,29,may,431,2,-1,0,unknown,no,7296
cellular,11,sep,658,4,95,2,other,yes,41561
cellular,9,dec,288,7,183,4,success,yes,42450
telephone,21,nov,312,1,130,3,other,no,27185
unknown,18,jun,201,1,-1,0,unknown,no,11307
cellular,18,may,184,1,-1,0,unknown,no,39049
cellular,13,aug,129,1,-1,0,unknown,no,40991
cellular,21,nov,114,1,-1,0,unknown,no,27134
cellular,6,apr,332,2,335,1,failure,no,31624
unknown,9,may,338,4,-1,0,unknown,no,1896
unknown,28,may,198,1,-1,0,unknown,no,6892
cellular,2,aug,203,3,94,1,other,no,44364
unknown,12,jun,110,4,-1,0,unknown,no,10291
cellular,26,may,55,1,113,1,failure,no,39591
telephone,17,nov,117,3,131,4,failure,no,24663
cellular,7,may,101,1,301,1,failure,no,35413
cellular,22,jul,233,1,-1,0,unknown,no,15929
unknown,19,jun,74,1,-1,0,unknown,no,11543
cellular,21,nov,527,1,-1,0,unknown,no,27416
unknown,2,jul,63,4,-1,0,unknown,no,12498
cellular,17,jun,544,1,-1,0,unknown,yes,43951
cellular,2,apr,303,1,331,2,failure,no,31504
unknown,29,may,828,3,-1,0,unknown,yes,7482
cellular,26,may,132,6,112,3,failure,no,39607
cellular,20,apr,168,2,-1,0,unknown,no,33478
telephone,7,may,63,1,168,3,failure,no,35253
cellular,21,nov,48,4,-1,0,unknown,no,27683
unknown,23,may,299,1,-1,0,unknown,no,5283
cellular,2,aug,300,3,-1,0,unknown,no,44366
unknown,23,may,284,2,-1,0,unknown,no,5394
cellular,30,jul,229,2,-1,0,unknown,no,17935
cellular,18,may,134,1,-1,0,unknown,no,38908
cellular,8,apr,179,5,139,4,failure,no,31783
unknown,12,jun,410,1,-1,0,unknown,no,10411
cellular,20,aug,79,4,-1,0,unknown,no,21878
unknown,5,may,198,1,-1,0,unknown,no,5
cellular,8,jul,55,2,-1,0,unknown,no,13281
cellular,10,jul,466,1,-1,0,unknown,no,13878
cellular,14,aug,143,2,-1,0,unknown,no,21041
cellular,7,aug,674,2,-1,0,unknown,yes,19525
cellular,9,jun,163,2,92,3,success,yes,43898
cellular,26,may,94,2,112,2,failure,no,39644
telephone,9,jun,221,7,-1,0,unknown,yes,40223
cellular,5,feb,125,1,-1,0,unknown,no,30436
cellular,20,nov,318,2,-1,0,unknown,no,26300
cellular,3,feb,185,1,92,1,success,yes,42862
unknown,20,may,360,1,-1,0,unknown,no,4576
cellular,23,jul,730,1,-1,0,unknown,no,16268
cellular,15,may,229,5,268,4,failure,no,38376
cellular,18,may,13,3,355,5,failure,no,39174
cellular,20,aug,190,12,-1,0,unknown,no,21801
cellular,20,apr,7,6,-1,0,unknown,no,33181
unknown,9,may,155,3,-1,0,unknown,no,2023
cellular,19,nov,435,2,-1,0,unknown,no,25819
cellular,27,aug,111,9,-1,0,unknown,no,23392
cellular,17,nov,80,1,-1,0,unknown,no,24203
unknown,17,jun,705,1,-1,0,unknown,no,10852
cellular,3,feb,112,3,270,2,failure,no,29712
cellular,17,nov,174,1,154,3,failure,no,24487
cellular,16,apr,219,1,273,1,failure,no,32329
cellular,29,jul,188,2,-1,0,unknown,no,17637
cellular,8,jul,114,1,-1,0,unknown,no,13134
cellular,15,apr,953,1,-1,0,unknown,yes,32162
cellular,19,aug,128,8,-1,0,unknown,no,21558
unknown,6,may,344,1,-1,0,unknown,no,371
cellular,10,jul,441,1,-1,0,unknown,no,13781
cellular,18,jul,149,1,-1,0,unknown,no,15326
unknown,15,may,239,2,-1,0,unknown,no,3649
cellular,9,jul,160,1,-1,0,unknown,no,13498
unknown,20,jun,911,1,-1,0,unknown,yes,11726
cellular,30,apr,347,3,-1,0,unknown,no,34174
unknown,7,may,109,1,-1,0,unknown,no,936
cellular,6,feb,257,2,-1,0,unknown,no,30757
unknown,5,jun,511,1,-1,0,unknown,no,9174
cellular,11,aug,381,4,-1,0,unknown,no,20312
unknown,9,jun,465,6,-1,0,unknown,no,9937
unknown,19,jun,254,1,-1,0,unknown,no,11470
telephone,21,nov,148,3,172,3,failure,no,27385
unknown,12,may,66,4,-1,0,unknown,no,2241
cellular,14,jul,565,4,-1,0,unknown,no,14466
cellular,19,nov,1084,1,100,4,failure,yes,25628
unknown,12,may,363,2,-1,0,unknown,no,2129
unknown,11,jun,86,2,-1,0,unknown,no,10187
cellular,24,dec,520,3,133,3,failure,no,42552
cellular,18,aug,585,3,-1,0,unknown,no,21314
unknown,3,jun,103,1,-1,0,unknown,no,8407
cellular,7,may,1391,2,-1,0,unknown,yes,35511
cellular,18,nov,98,4,-1,0,unknown,no,25299
cellular,4,feb,283,1,-1,0,unknown,no,29894
unknown,12,may,221,2,-1,0,unknown,no,2059
cellular,21,nov,285,1,179,4,other,no,27332
unknown,30,may,210,1,-1,0,unknown,no,7632
cellular,31,jul,716,9,-1,0,unknown,no,18546
cellular,22,aug,77,2,-1,0,unknown,no,22371
cellular,16,jul,390,2,-1,0,unknown,no,14789
unknown,28,may,51,4,-1,0,unknown,no,7006
cellular,18,nov,81,2,-1,0,unknown,no,25062
cellular,7,jul,422,3,-1,0,unknown,no,12885
cellular,6,may,121,1,-1,0,unknown,no,34740
telephone,16,jul,126,4,-1,0,unknown,no,14768
cellular,18,jul,572,1,-1,0,unknown,yes,15312
cellular,2,feb,237,1,-1,0,unknown,no,29113
cellular,28,aug,270,14,-1,0,unknown,no,23712
unknown,3,jun,103,2,-1,0,unknown,no,8457
cellular,17,apr,401,1,248,4,success,no,32801
cellular,18,jul,172,3,-1,0,unknown,no,15286
unknown,9,jun,248,4,-1,0,unknown,no,10005
cellular,20,nov,993,1,-1,0,unknown,yes,26290
unknown,28,may,219,3,-1,0,unknown,no,6584
cellular,6,aug,258,2,178,4,success,yes,44461
cellular,20,apr,222,5,-1,0,unknown,no,33136
cellular,21,jul,54,10,-1,0,unknown,no,15650
unknown,7,may,306,5,-1,0,unknown,no,1048
unknown,4,jun,112,4,-1,0,unknown,no,8936
cellular,28,jan,228,1,196,2,failure,no,27774
cellular,8,may,763,1,-1,0,unknown,yes,35689
unknown,17,jun,158,3,-1,0,unknown,no,11073
cellular,18,aug,458,4,-1,0,unknown,no,21231
cellular,4,feb,195,2,271,3,failure,no,30076
cellular,5,feb,253,1,-1,0,unknown,no,30292
unknown,8,may,31,1,-1,0,unknown,no,1410
cellular,20,apr,45,4,153,1,failure,no,33484
cellular,8,feb,185,2,179,1,failure,no,42944
cellular,8,aug,309,2,-1,0,unknown,no,19899
unknown,29,may,56,2,-1,0,unknown,no,7160
telephone,21,jul,722,3,-1,0,unknown,no,15898
cellular,21,nov,74,1,-1,0,unknown,no,27050
cellular,20,nov,48,4,-1,0,unknown,no,26260
unknown,20,jun,10,2,-1,0,unknown,no,11937
cellular,7,may,343,3,295,5,other,no,35140
cellular,16,jul,154,2,-1,0,unknown,no,14790
cellular,19,nov,126,1,-1,0,unknown,no,25509
cellular,10,jul,123,4,-1,0,unknown,no,14010
cellular,20,nov,167,1,-1,0,unknown,no,26759
unknown,6,may,593,2,-1,0,unknown,no,717
cellular,5,feb,221,1,-1,0,unknown,no,30286
cellular,8,may,478,1,-1,0,unknown,no,35811
cellular,12,aug,176,1,185,1,failure,no,44536
cellular,29,jul,69,5,-1,0,unknown,no,17777
cellular,30,apr,284,1,339,1,failure,no,33991
cellular,1,jun,174,1,81,2,success,yes,39812
cellular,29,jul,38,17,-1,0,unknown,no,17503
unknown,13,may,182,1,-1,0,unknown,no,2612
cellular,7,may,142,1,353,1,failure,no,35351
cellular,14,aug,553,1,-1,0,unknown,no,41070
cellular,17,apr,1080,1,-1,0,unknown,yes,32818
cellular,13,may,364,2,343,4,failure,no,37523
cellular,15,oct,103,1,-1,0,unknown,no,41818
telephone,2,feb,29,4,-1,0,unknown,no,28915
telephone,21,aug,331,20,-1,0,unknown,no,22307
telephone,4,may,33,7,-1,0,unknown,no,34371
